itemCode,製品名:和名,製造販売元,経済課コード,リスク区分等,成分名
,ベリックスV,生晃栄養薬品（株）,312C03A10016,第3類,
,ベリックス・ネオ,生晃栄養薬品（株）,312C01A10014,第3類,
,ポポンSプラス,生晃栄養薬品（株）,317C00A00594,指定第2類,
,マルチビタン14,生晃栄養薬品（株）,317C00D00302,指定第2類,
,アイゲン,成光薬品工業（株）,231C00B10012,第2類,
,エフニン,成光薬品工業（株）,224B00A10004,指定第2類,
,かぜリートンカプセルC,成光薬品工業（株）,118D00B00044,指定第2類,
,コタン,成光薬品工業（株）,233R00B01288,第3類,
,仁救六神丸,成光薬品工業（株）,211R00B01279,第2類,
,スグチンA,成光薬品工業（株）,114B01B00056,指定第2類,
,成光胃腸薬141,成光薬品工業（株）,234B00B00203,第2類,
,成光仁救,成光薬品工業（株）,211R00B01470,第2類,
,成光大虎散,成光薬品工業（株）,114B00B00057,指定第2類,
,成光片仔膽,成光薬品工業（株）,211B00B00139,第2類,
,仙客保光,成光薬品工業（株）,211R00B00685,第2類,
,ネオスグチンK,成光薬品工業（株）,114B01B00055,指定第2類,
,リートン鼻炎カプセルC,成光薬品工業（株）,132D00B00032,指定第2類,
,祿丈,成光薬品工業（株）,317R00A00268,第3類,
,祿丈ロイヤル成光,成光薬品工業（株）,317E03D00691,第2類,
,アポセーフ錠,（有）盛大堂製薬,211C00A06847,第2類,
,ホルモン綜合　アポセーフ,（有）盛大堂製薬,211B00A03923,第2類,
,ピンヘット,千金丹ケアーズ（株）,114B01A00003,指定第2類,
,桃の葉の薬,千金丹ケアーズ（株）,269M00A18896,第2類,
,NewマイティアCL-a,千寿製薬（株）,131M00A00185,第3類,
,NewマイティアCLアイスクラッシュ,千寿製薬（株）,131M01A00106,第3類,
,NewマイティアCLアイスリフレッシュ,千寿製薬（株）,131M01A00102,第3類,
,NewマイティアCLクールHi-a,千寿製薬（株）,131M00A00191,第3類,
,NewマイティアCLクール-a,千寿製薬（株）,131M00A00188,第3類,
,NewマイティアCLビタクリアクール,千寿製薬（株）,131M01A00178,第3類,
,新マイティアA,千寿製薬（株）,131M00A00043,第3類,
,ファーストマイティアCL-B,千寿製薬（株）,131M00A00783,第3類,
,ファーストマイティアCL-G,千寿製薬（株）,131M00A00781,第3類,
,ファーストマイティアCL-P,千寿製薬（株）,131M00A00778,第3類,
,マイティアアイテクト,千寿製薬（株）,131M00A00826,第2類,
,マイティアアイテクトアルピタット,千寿製薬（株）,131M03A00690,第2類,
,マイティアアイテクトアルピタットN,千寿製薬（株）,131M01A00515,第2類,
,マイティアアルピタットEXα,千寿製薬（株）,131M02A00500,第2類,
,マイティアアルピタットNEXα,千寿製薬（株）,131M00A00508,第2類,
,マイティアクリーン クール,千寿製薬（株）,131M01A10098,第2類,
,マイティア美瞳,千寿製薬（株）,131M05A10013,第3類,
,マイティアピントケアEX,千寿製薬（株）,131M31A10001,第3類,
,マイティアピントケアEX　マイルド,千寿製薬（株）,131M26A10004,第3類,
,マイティアフレッシュ40,千寿製薬（株）,131M02A00058,第3類,
,アスタシオンALGプラス点鼻薬,セントラル製薬（株）,132M00A00082,第2類,
,アスタシオン点鼻薬クール,セントラル製薬（株）,132M00A10104,第2類,
,アナガリスαs,セントラル製薬（株）,114C00A00037,指定第2類,
,キンカンピラック,セントラル製薬（株）,264N00A00379,指定第2類,
,こども用かぜシロップアルファ,セントラル製薬（株）,118E09A10006,指定第2類,
,スカイブブロンLX,セントラル製薬（株）,114C00A00607,第1類,
,点鼻薬ALプラス,セントラル製薬（株）,132M00A00083,第2類,
,点鼻薬ALプラスクール,セントラル製薬（株）,132M00A00324,第2類,
,ビタミンEアルファ,セントラル製薬（株）,315D03A10004,第3類,
,フェキソフェナジン錠「ST」a,セントラル製薬（株）,441C00A00147,第2類,
,フェキソフェナジン錠エース,セントラル製薬（株）,441C01A00148,第2類,
,リコリプラスエースa,セントラル製薬（株）,114C00A00036,指定第2類,
,ロキソプロフェン錠「LS」,セントラル製薬（株）,114C00A00627,第1類,
,イオナミン,（株）ゼットイオン研究所,235C00A02155,第3類,
,イスロ錠,ゼネル薬工伊都（株）,233C00A01198,第3類,
,ゼネル50内服液,ゼネル薬工伊都（株）,329E00A02178,第3類,
,ゼネル八味地黄丸,ゼネル薬工伊都（株）,520R00A00413,第2類,
,ゼネルミンα,ゼネル薬工伊都（株）,312E00A00007,第3類,
,ネオゼネル液-B,ゼネル薬工伊都（株）,329E00A00378,第2類,
,フレンドール,ゼネル薬工伊都（株）,315D00A00489,第3類,
,ラリヤ,ゼネル薬工伊都（株）,264N00A00182,第2類,
,アプタス50,ゼネル薬工粉河（株）,329E00A00634,第2類,
,アプタスXⅡ,ゼネル薬工粉河（株）,329E00A00579,第2類,
,アプタスZ,ゼネル薬工粉河（株）,329E00A00635,第2類,
,アルドミン錠A,ゼネル薬工粉河（株）,114C09A10001,指定第2類,
,イスロ胃腸ドリンクS,ゼネル薬工粉河（株）,233E03A10005,第2類,
,イスロ顆粒,ゼネル薬工粉河（株）,237B00A10004,第2類,
,イスロガウンエース,ゼネル薬工粉河（株）,233B00A10002,第3類,
,エルキスN,ゼネル薬工粉河（株）,264N03A00790,第2類,
,エルキス・パスタ,ゼネル薬工粉河（株）,269P00A01311,第3類,
,「小児用」感冒薬ハイリココデ液,ゼネル薬工粉河（株）,118E00A01455,第2類,
,「小児用」感冒薬リココデS液,ゼネル薬工粉河（株）,118E02A00005,指定第2類,
,小児用感冒薬リココデS液,ゼネル薬工粉河（株）,118E11A10006,指定第2類,
,「小児用」ベナール液,ゼネル薬工粉河（株）,118E10A00004,指定第2類,
,新リココデ錠,ゼネル薬工粉河（株）,224C01A10002,指定第2類,
,ゼネルB1ファイン,ゼネル薬工粉河（株）,317D00A00001,第3類,
,バルタス・A,ゼネル薬工粉河（株）,211R00A04190,第2類,
,パートスS錠,ゼネル薬工粉河（株）,449C00A00817,第2類,
,ヨイラックワンデイ,ゼネル薬工粉河（株）,133C00A00011,指定第2類,
,リココデSP錠,ゼネル薬工粉河（株）,118C05A10001,指定第2類,
,リココデ顆粒-S,ゼネル薬工粉河（株）,118B00A04589,指定第2類,
,リココデ顆粒-SⅡ,ゼネル薬工粉河（株）,118B11A10002,指定第2類,
,リココデシロップ,ゼネル薬工粉河（株）,224E00A11070,指定第2類,
,リココデせきトローチ,ゼネル薬工粉河（株）,224C00A00003,第2類,
,リココデ・バッカンエース,ゼネル薬工粉河（株）,329E00A01472,第2類,
,リココデ鼻炎顆粒,ゼネル薬工粉河（株）,132B00A10002,指定第2類,
,MCカルシウム,ゼリア新薬工業（株）,321C00A00540,第3類,
,アシノンZ胃腸内服液,ゼリア新薬工業（株）,232E00A00474,第1類,
,アシノンZ錠,ゼリア新薬工業（株）,232C00A00457,第1類,
,アポスティーEC＋B,ゼリア新薬工業（株）,317C02A10035,第3類,
,アポスティークリーム,ゼリア新薬工業（株）,269N00A10046,第2類,
,アンミナイト,ゼリア新薬工業（株）,112E00A00925,指定第2類,
,ウィズワンエル,ゼリア新薬工業（株）,235B00A00114,指定第2類,
,エーゼットA,ゼリア新薬工業（株）,131M00A00149,第3類,
,エーゼットアルファ,ゼリア新薬工業（株）,131M00A10249,第2類,
,エーゼット抗菌目薬,ゼリア新薬工業（株）,131M05A00047,第2類,
,エスビヤン40,ゼリア新薬工業（株）,131M04A10036,第3類,
,エスビヤンAC,ゼリア新薬工業（株）,131M00A10268,第2類,
,エスビヤンS,ゼリア新薬工業（株）,131M00A04453,第3類,
,コンドロイチンZS錠,ゼリア新薬工業（株）,399C00A01317,第3類,
,コンドロハイ900,ゼリア新薬工業（株）,397E00A00024,第3類,
,コンドロハイ900E,ゼリア新薬工業（株）,397E00A00003,第3類,
,コンドロハイ900ゼリー,ゼリア新薬工業（株）,312A00A00365,第3類,
,コンドロビーAX,ゼリア新薬工業（株）,319C02A10019,第3類,
,コンドロビーEX,ゼリア新薬工業（株）,319C00A01023,第3類,
,コンドロビーMX,ゼリア新薬工業（株）,319C00A10028,第3類,
,コンドロビーアップ錠,ゼリア新薬工業（株）,319C00A10068,第3類,
,コンドロビープラス,ゼリア新薬工業（株）,319C00A00387,第3類,
,サフィオAC,ゼリア新薬工業（株）,131M03A00394,第2類,
,サフィオEX40,ゼリア新薬工業（株）,131M08A10026,第3類,
,サフィオZ12,ゼリア新薬工業（株）,131M15A10018,第2類,
,サフィオ抗菌,ゼリア新薬工業（株）,131M08A10027,第2類,
,サフィオコンタクト,ゼリア新薬工業（株）,131M01A00238,第3類,
,新ウィズワン,ゼリア新薬工業（株）,235B02A10007,指定第2類,
,新ウィズワンα,ゼリア新薬工業（株）,235B00A10006,指定第2類,
,新エーゼットA,ゼリア新薬工業（株）,131M03A10010,第2類,
,新エスビヤンフレッシュ,ゼリア新薬工業（株）,131M01A10096,第2類,
,新セピー液「小児用」,ゼリア新薬工業（株）,118E00A00081,指定第2類,
,新ゼリアスV10,ゼリア新薬工業（株）,397E00A00569,第2類,
,新ハイゼリーSN,ゼリア新薬工業（株）,397E00A00422,第2類,
,新ハイゼリーV10,ゼリア新薬工業（株）,397E00A00570,第2類,
,新ハイゼリーエースⅡ,ゼリア新薬工業（株）,317D00A00626,第3類,
,新ハイゼリーエースE,ゼリア新薬工業（株）,315D00A00157,第3類,
,新ハイゼリー顆粒,ゼリア新薬工業（株）,397B00A00601,第3類,
,新ヘパリーゼドリンク,ゼリア新薬工業（株）,397E02A00124,第3類,
,新ヘパリーゼプラス,ゼリア新薬工業（株）,397C00A00761,第3類,
,新ヘルサンソフトB,ゼリア新薬工業（株）,397E01A00351,第2類,
,新ヘルサンソフトBフレッシュ,ゼリア新薬工業（株）,397E00A00709,第2類,
,新ローヤルゼロントB,ゼリア新薬工業（株）,397E01A00352,第2類,
,新ローヤルゼロントBフレッシュ,ゼリア新薬工業（株）,397E00A00708,第2類,
,新ローヤルゼロントSL,ゼリア新薬工業（株）,397E01A00423,第2類,
,ジオスゴールド,ゼリア新薬工業（株）,397E00A00023,第2類,
,ジクターAG,ゼリア新薬工業（株）,131M00A00695,第2類,
,ジクターAL,ゼリア新薬工業（株）,131M05A10021,第2類,
,ジクターEXプラス,ゼリア新薬工業（株）,131M11A10029,第3類,
,ジクタークールα,ゼリア新薬工業（株）,131M06A10031,第2類,
,ジクター抗菌α,ゼリア新薬工業（株）,131M08A10030,第2類,
,ジュラール,ゼリア新薬工業（株）,264N01A01299,第3類,
,スキットアイAC,ゼリア新薬工業（株）,131M00A10269,第2類,
,スキットアイ抗菌,ゼリア新薬工業（株）,131M08A10012,第2類,
,ストマクールA細粒,ゼリア新薬工業（株）,234B00A10041,第2類,
,セピーIPかぜゴールド顆粒,ゼリア新薬工業（株）,118B00A00335,指定第2類,
,セピーIPかぜゴールド錠,ゼリア新薬工業（株）,118C00A00334,指定第2類,
,セピーせき止めカプセル,ゼリア新薬工業（株）,224D00A10003,指定第2類,
,セピーせき止め顆粒,ゼリア新薬工業（株）,224B01A10004,指定第2類,
,セピートローチ,ゼリア新薬工業（株）,279C00A01195,第3類,
,セピーハーブドリンク,ゼリア新薬工業（株）,397E00A00541,第2類,
,セピー鼻炎ソフトN,ゼリア新薬工業（株）,132D01A10035,指定第2類,
,セルメEC顆粒,ゼリア新薬工業（株）,315B00A00050,第3類,
,ゼリア健胃内服液,ゼリア新薬工業（株）,233E00A01333,第2類,
,ゼリア「地竜エキス」顆粒,ゼリア新薬工業（株）,114B00A01002,第2類,
,ゼリアスV5,ゼリア新薬工業（株）,397E00A00701,第2類,
,タレント抗菌α,ゼリア新薬工業（株）,131M16A10007,第2類,
,ドルマイコーチ軟膏,ゼリア新薬工業（株）,263N00A03974,指定第2類,
,ドルマイシン軟膏,ゼリア新薬工業（株）,263N00A04179,第2類,
,ドルマインH軟膏,ゼリア新薬工業（株）,255N02A10034,指定第2類,
,ノイディア胃腸薬A細粒,ゼリア新薬工業（株）,234B00A10002,第2類,
,ハイゼリー,ゼリア新薬工業（株）,397E00A02285,第2類,
,ハイゼリーB,ゼリア新薬工業（株）,397E00A02286,第2類,
,ハイゼリーBフレッシュ,ゼリア新薬工業（株）,397E00A00039,第2類,
,ハイゼリーEX,ゼリア新薬工業（株）,397E00A00406,第2類,
,ハイゼリーSG50,ゼリア新薬工業（株）,397E00A01364,第2類,
,ハイゼリーV5,ゼリア新薬工業（株）,397E00A00865,第2類,
,ハイゼリーVN,ゼリア新薬工業（株）,397E00A00600,第2類,
,ハイゼリー顆粒,ゼリア新薬工業（株）,397B00A00851,第3類,
,ハイゼリー散,ゼリア新薬工業（株）,329B00A01380,第3類,
,ハイゼリー散「分包」,ゼリア新薬工業（株）,329B00A01706,第3類,
,ハイゼリーロイヤル,ゼリア新薬工業（株）,397E00A00790,第3類,
,ハイポッツクリーム,ゼリア新薬工業（株）,264N03A00366,指定第2類,
,ハイポッツ軟膏,ゼリア新薬工業（株）,264N01A00367,指定第2類,
,ハイルゲン,ゼリア新薬工業（株）,397E01A00599,第2類,
,ビュークリアHi40,ゼリア新薬工業（株）,131M13A10027,第3類,
,ビュークリアキュアコンタクト,ゼリア新薬工業（株）,131M01A00158,第3類,
,ビュークリアクール,ゼリア新薬工業（株）,131M06A00046,第2類,
,ビュークリアゴールド,ゼリア新薬工業（株）,131M03A10032,第2類,
,ビュークリアビタコンタクト,ゼリア新薬工業（株）,131M02A00153,第3類,
,ビュークリアロッソ,ゼリア新薬工業（株）,131M01A00045,第2類,
,プレバリンαクールクリーム,ゼリア新薬工業（株）,264N00A00700,指定第2類,
,プレバリンαクール軟膏,ゼリア新薬工業（株）,264N01A00699,指定第2類,
,プレバリンαクリーム,ゼリア新薬工業（株）,264N01A00055,指定第2類,
drug-pony:10152005,プレバリンα軟膏,ゼリア新薬工業（株）,264N01A00054,指定第2類,
,プレフェミン,ゼリア新薬工業（株）,510C00A00214,要指導医薬品,
,ヘパリーゼDX,ゼリア新薬工業（株）,397C00A00590,第3類,
,ヘパリーゼEX,ゼリア新薬工業（株）,397C00A00592,第3類,
,ヘパリーゼG,ゼリア新薬工業（株）,397C00A00250,第3類,
,ヘパリーゼGT,ゼリア新薬工業（株）,397C00A00245,第3類,
,ヘパリーゼGX,ゼリア新薬工業（株）,397C01A00384,第3類,
,ヘパリーゼHP,ゼリア新薬工業（株）,397C00A00221,第3類,
,ヘパリーゼHi,ゼリア新薬工業（株）,397E02A00636,第3類,
,ヘパリーゼHiプラス,ゼリア新薬工業（株）,397E00A00235,第2類,
,ヘパリーゼS,ゼリア新薬工業（株）,397C00A00437,第3類,
,ヘパリーゼV,ゼリア新薬工業（株）,397C00A00466,第3類,
,ヘパリーゼα,ゼリア新薬工業（株）,397C00A00484,第3類,
,ヘパリーゼ胃腸内服液,ゼリア新薬工業（株）,233E00A00760,第2類,
,ヘパリーゼエース,ゼリア新薬工業（株）,397C00A00548,第3類,
,ヘパリーゼキング,ゼリア新薬工業（株）,397E00A00504,第2類,
,ヘパリーゼキングEX,ゼリア新薬工業（株）,397E01A00224,第2類,
,ヘパリーゼキングプラス,ゼリア新薬工業（株）,397E00A00225,第2類,
,ヘパリーゼドリンクⅡ,ゼリア新薬工業（株）,397E00A00212,第3類,
,ヘパリーゼプラスⅡ,ゼリア新薬工業（株）,397C00A00473,第3類,
,ヘパリンZクリーム,ゼリア新薬工業（株）,333N00A00149,第2類,
,ベルランゼットS,ゼリア新薬工業（株）,231D00A00964,第2類,
,マージナル抗菌AZ,ゼリア新薬工業（株）,131M07A10028,第2類,
,ユチーフ錠,ゼリア新薬工業（株）,232C00A00264,第2類,
,リナティア,ゼリア新薬工業（株）,397B00A00279,第3類,
,ルフノン鼻炎ソフトN,ゼリア新薬工業（株）,132D00A10036,指定第2類,
,アイラート40,全薬工業（株）,131M01A00124,第3類,
,アルクラック内服液,全薬工業（株）,520E01A00137,第2類,
,アロパノール,全薬工業（株）,520C00A01295,第2類,
,アロパノール顆粒,全薬工業（株）,520B01A00766,第2類,
,アロパノール内服液,全薬工業（株）,520E00A00370,第2類,
,エベナL,全薬工業（株）,510C00A01511,第2類,
,カタセ錠,全薬工業（株）,321C00A01896,第3類,
,カタセ錠A,全薬工業（株）,321C00A00006,第3類,
,カタセ錠D3,全薬工業（株）,321C00A00092,第2類,
,強ゴールドルパール,全薬工業（株）,131M00A02538,第2類,
,コザックコートW,全薬工業（株）,265M00A10065,第2類,
,コザックコートWクリーム,全薬工業（株）,265N00A10067,第2類,
,サブスM,全薬工業（株）,255C00A00039,第2類,
,サブス坐剤,全薬工業（株）,255Q00A10050,指定第2類,
,サブス軟膏,全薬工業（株）,255N00A10046,指定第2類,
,小児用ジキニンシロップ,全薬工業（株）,118E04A10003,指定第2類,
,新小児ジキニンシロップ,全薬工業（株）,118E00A00020,指定第2類,
,新ジキニン顆粒,全薬工業（株）,118B00A00015,指定第2類,
,新ジキニン錠D,全薬工業（株）,118C00A00149,指定第2類,
,新バック液,全薬工業（株）,233E00A01027,第2類,
,新リコリス「ゼンヤク」,全薬工業（株）,397E00A01657,第2類,
,ジキニンC,全薬工業（株）,118B00A00224,指定第2類,
,ジキニン液D,全薬工業（株）,224E00A00495,指定第2類,
,ジキニン顆粒A,全薬工業（株）,118B00A00119,指定第2類,
,ジキニン顆粒IP,全薬工業（株）,118B00A00352,指定第2類,
,ジキニン顆粒エース,全薬工業（株）,118B00A00120,指定第2類,
,ジキニン錠エースIP,全薬工業（株）,118C00A00872,指定第2類,
,ジキニンのどクリア,全薬工業（株）,520E00A00251,第2類,
,ジキニン鼻炎AG顆粒,全薬工業（株）,132B00A10070,指定第2類,
,ジキニンファースト顆粒N,全薬工業（株）,118B11A10004,指定第2類,
,ジキニンファースト錠,全薬工業（株）,118C02A10019,指定第2類,
,ステイタスD3,全薬工業（株）,311D00A05000,第2類,
,ステイブ胃腸薬,全薬工業（株）,233B00A00851,第3類,
,セミドン顆粒,全薬工業（株）,114B00A00659,指定第2類,
,橙色ペークミン,全薬工業（株）,264N00A00753,第3類,
,ドックマン,全薬工業（株）,397C00A09028,指定第2類,
,ドックマン肝寿,全薬工業（株）,317C01A00771,第3類,
,ドックマンビガー,全薬工業（株）,329E00A00791,第2類,
,ドップェル錠D,全薬工業（株）,224C00A00934,指定第2類,
,ドップェル錠せきどめ,全薬工業（株）,224C00A00726,指定第2類,
,ピロットA錠,全薬工業（株）,441C00A00384,第2類,
,ピロットD,全薬工業（株）,264M00A01047,指定第2類,
,ピロットリペアクリーム,全薬工業（株）,264N00A00013,指定第2類,
,ピロットリペア軟膏,全薬工業（株）,264N01A00012,指定第2類,
,ピロットリペアローション,全薬工業（株）,264M01A00011,指定第2類,
,プレカクリーム,全薬工業（株）,264N00A00372,指定第2類,
,ヘマニック,全薬工業（株）,322C00A00775,第2類,
,ラリーエイ,全薬工業（株）,264N00A04683,指定第2類,
,リコリス「ゼンヤク」エース,全薬工業（株）,397E00A00408,第2類,
,リコリス「ゼンヤク」ゴールド,全薬工業（株）,397E01A00188,第2類,
,リコリス「ゼンヤク」小児用,全薬工業（株）,319E00A01102,第2類,
,アサヒパスE,大協薬品工業（株）,264P00D00196,第3類,
,アスパイン内服液,大協薬品工業（株）,397E00B01260,第2類,
,アスパビタンDX,大協薬品工業（株）,329E00D00678,第3類,
,温丸膏,大協薬品工業（株）,264P01D00324,第3類,
,アリナエイト内服液,大協薬品工業（株）,313E00D00563,第3類,
,イナーゼ,大協薬品工業（株）,237B01D00338,第2類,
,インドメクールT,大協薬品工業（株）,264P01D00355,第2類,
,インドメシートID,大協薬品工業（株）,264P01A00584,第2類,
,インドメフィットT,大協薬品工業（株）,264P00D00356,第2類,
,エンカセブン,大協薬品工業（株）,118B03D10021,指定第2類,
,エンカセブンカプセルG,大協薬品工業（株）,118D02D10026,指定第2類,
,おきゅ膏Z,大協薬品工業（株）,264P01D00845,第3類,
,温感シートハップ,大協薬品工業（株）,264P00D00599,第3類,
,カールバンN,大協薬品工業（株）,261Z00D10106,第3類,
,カールバンW,大協薬品工業（株）,261Z00D00155,第3類,
,かぜエーシン,大協薬品工業（株）,118B00D01119,指定第2類,
,かぜエーシンW,大協薬品工業（株）,118B01D10016,指定第2類,
,かぜキープS,大協薬品工業（株）,118D00A00018,指定第2類,
,かぜジエットA,大協薬品工業（株）,118D01D00018,指定第2類,
,カゼチーム,大協薬品工業（株）,118B00D10022,指定第2類,
,カゼチームカプセルG,大協薬品工業（株）,118D02D10025,指定第2類,
,カゼチームプロ,大協薬品工業（株）,118D00D00312,指定第2類,
,カゼチームプロ顆粒,大協薬品工業（株）,118B01D10012,指定第2類,
,かぜピラシリンゴールドK,大協薬品工業（株）,118B00D01117,指定第2類,
,かぜピラシンゴールドK,大協薬品工業（株）,118B01D10011,指定第2類,
,かぜピラシンゴールドS,大協薬品工業（株）,118D01D00061,指定第2類,
,かわかみんかぜ,大協薬品工業（株）,118B00D10023,指定第2類,
,きずパットソフトN,大協薬品工業（株）,261Z00D10104,第3類,
,きずパットフィットN,大協薬品工業（株）,261Z00D10105,第3類,
,きずフィットN,大協薬品工業（株）,261Z00D10108,第3類,
,キズプラスターフィットN,大協薬品工業（株）,261Z00D10107,第3類,
,クラシエ葛根湯液Ⅱ,大協薬品工業（株）,520E00A00486,第2類,
,「クラシエ」柴胡桂枝湯液,大協薬品工業（株）,520E00A00487,第2類,
,ケロンパスE,大協薬品工業（株）,264P00B00459,第3類,
,コーエパスエリートE,大協薬品工業（株）,264P00D00190,第3類,
,コリシート,大協薬品工業（株）,264P00B00587,第3類,
,コリシートホット,大協薬品工業（株）,264P02D00597,第3類,
,ゴールドパスE,大協薬品工業（株）,264P00D01169,第3類,
,サリエースA,大協薬品工業（株）,264P00D01116,第3類,
,シートハップP,大協薬品工業（株）,264P00D00788,第3類,
,シートパップID,大協薬品工業（株）,264P00B00736,第2類,
,シップサールA3,大協薬品工業（株）,264P00D01323,第3類,
,新スムーディA,大協薬品工業（株）,118B03D10002,第2類,
,新ハイペット鼻炎,大協薬品工業（株）,132D00D10012,第2類,
,新鼻炎スムーディS,大協薬品工業（株）,132D00D10010,指定第2類,
,新薬温膏D,大協薬品工業（株）,264P01D00754,第3類,
,ジクロフィット,大協薬品工業（株）,264P01A00460,第2類,
,ジャストパップ,大協薬品工業（株）,264P00D01076,第3類,
,スムーディP,大協薬品工業（株）,118D00D01505,指定第2類,
,スムーディPゴールド,大協薬品工業（株）,118D01D10002,指定第2類,
,セキピタール,大協薬品工業（株）,222B00D00307,指定第2類,
,大協葛根湯内服液,大協薬品工業（株）,520E00A00840,第2類,
,タイヨーパップE,大協薬品工業（株）,264P01D00046,第3類,
,タミトールパスN1,大協薬品工業（株）,264P01A00533,第3類,
,ダイラップE,大協薬品工業（株）,264P00B00502,第3類,
,だるまハイトンスリー,大協薬品工業（株）,118B00B10055,指定第2類,
,だるまハイトンゼロスリー,大協薬品工業（株）,118B01D10015,指定第2類,
drug-pony:10767747,点温膏K,大協薬品工業（株）,264P01A00756,第3類,
,トリパスES,大協薬品工業（株）,264P00B00246,第3類,
,ナオリンパス,大協薬品工業（株）,264P00D00408,第3類,
,ニューコーラクパスA,大協薬品工業（株）,264P00D00079,第3類,
,ニューパス（A）,大協薬品工業（株）,264P00D01162,第3類,
,ニューパス温膏,大協薬品工業（株）,264P00A00101,第3類,
,布亀パスE,大協薬品工業（株）,264P00B00744,第3類,
,ネオンパスエリート,大協薬品工業（株）,264P00D01170,第3類,
,ノーリツIDハップ,大協薬品工業（株）,264P00B00739,第2類,
,ノーリツクールハップ,大協薬品工業（株）,264P01D00694,第3類,
,ノビエース,大協薬品工業（株）,264P00D01198,第3類,
,ハップクールG,大協薬品工業（株）,264P00D01623,第3類,
,はりほんE,大協薬品工業（株）,264P00D01173,第3類,
,貼温膏,大協薬品工業（株）,264P00D00173,第3類,
,はれやかS,大協薬品工業（株）,114B02D00044,指定第2類,
,バンノパス,大協薬品工業（株）,264P01D00526,第3類,
,パップクール,大協薬品工業（株）,264P00D01081,第3類,
,ビタトレール　鼻炎S,大協薬品工業（株）,132D00D10074,第2類,
,ピタコリ,大協薬品工業（株）,264P00D00406,第3類,
,ピラシリン内服液,大協薬品工業（株）,313E00D00883,第3類,
,ピリットカプセルS,大協薬品工業（株）,118D01D00068,指定第2類,
,ファイナルバンA,大協薬品工業（株）,264P00D00340,第3類,
,フィットハップ,大協薬品工業（株）,264P00B01199,第3類,
,ベルゲンカプセルⅢ,大協薬品工業（株）,118D01D10028,指定第2類,
,蜂蔘精内服液,大協薬品工業（株）,313E00B00484,第3類,
,本熊圓N,大協薬品工業（株）,233C00D00587,第3類,
,メンフラA,大協薬品工業（株）,264P01D00186,第3類,
,やまり膏E,大協薬品工業（株）,264P00D01110,第3類,
,ラウンドパス,大協薬品工業（株）,264P00A00541,第3類,
,リードパップDS,大協薬品工業（株）,264P00A00220,第3類,
,リリーフゴールド,大協薬品工業（株）,118D02D00069,指定第2類,
,レモンパスA,大協薬品工業（株）,264P00D01166,第3類,
,ロードパスC,大協薬品工業（株）,264P00D00409,第3類,
,ロードパスE,大協薬品工業（株）,264P00D01108,第3類,
,ワイドパスE,大協薬品工業（株）,264P00D00165,第3類,
,正露丸,大幸薬品（株）,231R00D01123,第2類,
drug-pony:10652690,正露丸クイックC,大幸薬品（株）,231D00A00011,第2類,
,セイロガン糖衣A,大幸薬品（株）,231C00D00569,第2類,
,悦我「分包」,太虎精堂製薬（株）,520B04A00014,第2類,
,太虎堂の紅蘭川Aエキス顆粒,太虎精堂製薬（株）,520B00A00973,第2類,
,太虎堂の仙敢「分包」,太虎精堂製薬（株）,520B01A01266,第2類,
,胃腸良剤大師丸,大師製薬（株）,237R00D01345,第2類,
,かぜ退熱,大師製薬（株）,118B00D00001,指定第2類,
,惠心,大師製薬（株）,211R00D00641,第2類,
,健胃薬赤玉はら薬,大師製薬（株）,233R00D00262,第3類,
,虔修六神丸,大師製薬（株）,211R00D01436,第2類,
,広和丸,大師製薬（株）,233R00D01078,第3類,
,慈光散,大師製薬（株）,114B01D00044,指定第2類,
,スピード散,大師製薬（株）,114B00D00062,指定第2類,
,トッコー散,大師製薬（株）,114B00D00092,指定第2類,
,リアント鼻炎カプセル,大師製薬（株）,132D00D10021,指定第2類,
,アイリス50,大正製薬（株）,131M01A00032,第3類,
,アイリス50クール,大正製薬（株）,131M02A00035,第3類,
,アイリスAGガード,大正製薬（株）,131M01A00348,第2類,
,アスクロン,大正製薬（株）,224B00A01246,第2類,
,アニマリンL錠,大正製薬（株）,325C00A00818,第3類,
,アニマリンM,大正製薬（株）,397E00A00769,第3類,
,アバロン,大正製薬（株）,234B00A00346,第2類,
,アルフェ エフイーアップ,大正製薬（株）,397E00A00091,第2類,
,エマゼンクリーム,大正製薬（株）,269N00A01865,指定第2類,
,エマゼン軟膏,大正製薬（株）,269N00A00919,指定第2類,
,コーラック,大正製薬（株）,235C00A00401,第2類,
,コーラックⅡ,大正製薬（株）,235C70A10003,第2類,
,コーラックファースト,大正製薬（株）,235C02A10012,第2類,
,抗菌アイリス使いきり,大正製薬（株）,131M02A00019,第2類,
,口内炎軟膏大正A,大正製薬（株）,279N00A00520,第3類,
,口内炎軟膏大正クイックケア,大正製薬（株）,279N00A00573,指定第2類,
,こどもパブロン坐薬,大正製薬（株）,114Q00A00174,第2類,
,サモンエース,大正製薬（株）,397D00A01429,第2類,
,サモンビガーⅠ,大正製薬（株）,397E01A01002,第2類,
drug-pony:10767996,センパア　Kidsドリンク,大正製薬（株）,133E01A10020,第2類,
drug-pony:10155085,センパア・QT,大正製薬（株）,133C70A10007,第2類,
drug-pony:10767987,センパアQT〈ジュニア〉,大正製薬（株）,133C00A10003,第2類,
drug-pony:10767985,センパア　トラベル1,大正製薬（株）,133C00A10017,第2類,
